window_start,window_end,n,pnl
2020-10,2020-10,8,2.820145746694159
2020-11,2020-11,9,3.736049537257429
2020-12,2020-12,11,2.985960281829776
2021-01,2021-01,11,2.985960281829776
2021-02,2021-02,12,2.7677076176824755
2021-03,2021-03,16,0.34434583673422026
2021-04,2021-04,17,-0.493702026815626
2021-05,2021-05,17,-0.493702026815626
2021-06,2021-06,17,-0.493702026815626
2021-07,2021-07,18,-1.172172621091562
2021-08,2021-08,16,-0.33276936617660624
2021-09,2021-09,16,1.4715788463526849
2021-10,2021-10,14,-4.515398686212478
2021-11,2021-11,14,3.0957244760788853
2021-12,2021-12,14,4.248002157991493
2022-01,2022-01,16,4.306980235297189
2022-02,2022-02,19,7.682552667530189
2022-03,2022-03,17,9.24652450910611
2022-04,2022-04,19,12.692031236806514
2022-05,2022-05,19,12.692031236806514
2022-06,2022-06,21,11.988916500083008
2022-07,2022-07,22,12.0897563078301
2022-08,2022-08,23,11.653756307830108
2022-09,2022-09,22,10.470756307830115
2022-10,2022-10,20,11.942012256514843
2022-11,2022-11,20,3.0755113156165237
2022-12,2022-12,21,3.9600849189589837
2023-01,2023-01,19,3.901106841653288
2023-02,2023-02,17,-0.24619851610904675
2023-03,2023-03,16,0.33690650416841095
2023-04,2023-04,17,0.19860410764796654
2023-05,2023-05,21,-1.9014639592237188
2023-06,2023-06,20,-1.7475043718468157
2023-07,2023-07,19,-1.529215342817892
2023-08,2023-08,20,-2.064654244138225
2023-09,2023-09,20,-2.064654244138225
2023-10,2023-10,24,-2.8477739134801965
2023-11,2023-11,24,-3.1665267823269403
2023-12,2023-12,22,-4.852015157805809
2024-01,2024-01,25,-1.8670151578057954
2024-02,2024-02,25,1.7796000872529731
2024-03,2024-03,29,3.186395975632408
2024-04,2024-04,27,-0.125249036234365
2024-05,2024-05,26,0.8872056525230647
2024-06,2024-06,27,3.6016498449502024
2024-07,2024-07,26,3.9609916024501217
2024-08,2024-08,25,4.985430503770445
2024-09,2024-09,25,4.985430503770445
2024-10,2024-10,22,6.0885501731124165
2024-11,2024-11,21,6.723045696741721
2024-12,2024-12,21,7.678772042393177
2025-01,2025-01,19,4.325322956679287
2025-02,2025-02,19,0.8649611139841866
2025-03,2025-03,16,7.220911296083294
2025-04,2025-04,14,8.063399840319953
2025-05,2025-05,11,9.151013218434208
2025-06,2025-06,11,7.899157778465472
2025-07,2025-07,12,7.806803446911509
2025-08,2025-08,12,7.520803446911522
2025-09,2025-09,12,7.520803446911522
2025-10,2025-10,11,7.200803446911522
2025-11,2025-11,10,7.459359149914668
2025-12,2025-12,9,6.902359149914666
2026-01,2026-01,8,7.270808235628543
2026-02,2026-02,6,8.07454042294151
2026-03,2026-03,4,0.5880792715578451
2026-04,2026-04,4,0.5880792715578451
2026-05,2026-05,4,0.5880792715578451
2026-06,2026-06,2,-0.3253543315539531
2026-07,2026-07,1,-0.23299999999998988
