thr,pct_spec,n,wr,pf0,ev0,test_pf0,avg_stop_pct,pos_years,pf_0.02,test_pf_0.02,pf_0.05,test_pf_0.05,pf_0.1,test_pf_0.1
0.5,0.05-0.3%,11,18.181818181818183,3.2533048724296476,0.2540657051207763,0.9413243525195194,0.1771461841862354,2/5,2.812831098858404,0.7438043632674851,2.328020456249385,0.5406554124641103,1.7918239383891128,0.3316333990945254
0.5,0.05-0.5%,37,21.62162162162162,2.389977543903592,0.2702803170500278,5.086473627537413,0.340590835399865,4/6,2.19110154341369,4.628383214257204,1.9428250096002573,4.066681864982774,1.6212386772267025,3.319660840067315
0.5,0.1-1%,99,25.252525252525253,1.6594174342313162,0.20897312144990168,3.1071398313360197,0.6113605890383462,5/7,1.5694445753532649,2.9205196634223545,1.4487224482811565,2.6728069887106467,1.277801807773725,2.321011121113893
0.6,0.05-0.3%,2,50.0,1.2908504895951198,0.03469880962875749,999.0,0.2389335630828808,1/2,1.1136788422949135,999.0,0.893963519414657,999.0,0.6142898332371488,999.0
0.6,0.05-0.5%,8,25.0,0.21538800499441824,-0.16438063148198445,0.09618236464824498,0.35921257343800106,0/4,0.1787260289870291,0.05583410884389863,0.1320820088362236,0.00460803609674595,0.08953765224390958,0.0
0.6,0.1-1%,40,35.0,1.5971580131525944,0.1581545704829484,1.8238604030015708,0.6536217496786971,5/6,1.4972353539271357,1.6709887319235754,1.3637337579347115,1.4703847086761295,1.1754971636054081,1.1922067256163231
0.7,0.05-0.3%,2,50.0,1.2908504895951198,0.03469880962875749,999.0,0.2389335630828808,1/2,1.1136788422949135,999.0,0.893963519414657,999.0,0.6142898332371488,999.0
0.7,0.05-0.5%,8,25.0,0.21538800499441824,-0.16438063148198445,0.09618236464824498,0.35921257343800106,0/4,0.1787260289870291,0.05583410884389863,0.1320820088362236,0.00460803609674595,0.08953765224390958,0.0
0.7,0.1-1%,40,35.0,1.5971580131525944,0.1581545704829484,1.8238604030015708,0.6536217496786971,5/6,1.4972353539271357,1.6709887319235754,1.3637337579347115,1.4703847086761295,1.1754971636054081,1.1922067256163231
