year,n,pf,ev,pnl
2021,4,1.9611865399898212,0.3900007335359703,1.5600029341438812
2022,6,0.0,-0.4987244300070633,-2.99234658004238
2023,7,0.0,-0.3237853786751787,-2.266497650726251
2024,8,7.741665418587353,1.3522883153479324,10.818306522783459
2025,6,1.75577575827631,0.21422120711935003,1.2853272427161002
2026,1,0.0,-0.4334213001628342,-0.4334213001628342
