src,stop,n,wr,pf0,ev0,test_pf0,avg_stop_pct,pos_years,pf_0.05,pf_0.1
1H,SL_2H,62,22.58064516129032,1.742052385948927,0.1858235559893632,0.7698354408436846,0.4719285858355976,4/6,1.4694814551772017,1.2610033969964098
1H,SL_SRC,96,19.791666666666664,1.7413012148212883,0.2420909646420002,3.2964342028157736,0.5963873899363327,4/6,1.5237019360071533,1.3483487271858692
4H,SL_SRC,10,30.0,0.7636065587650495,-0.08522597615875896,0.324959752595859,0.756832221509973,1/2,0.6581110108821759,0.5697681756362698
