trade_key_x,signal_time_x,entry_time_x,dir_x,mode_x,stage_x,entry,stop,stop_distance,exit_time_x,exit_price,exit_reason,pnl_points,_key,signal_time_y,entry_time_y,dir_y,mode_y,stage_y,open_time,ea_entry,ea_stop,exit_time_y,ea_exit,ea_reason,ea_pnl,pnl_usd,virtual_balance,trade_key_y,_merge,diff_entry,diff_stop,diff_exit_price,diff_pnl_points
2025.01.23 18:00:00|L|S2,2025-01-23 18:00:00,2025-01-23 18:00:00,L,post_n2,2.0,2757.747,2750.06,7.686999999999898,2025-01-24 16:00:00,2774.6052383839155,trail/SL hit,16.858238383915705,2025.01.23 18:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 18:00:00|L|S3,2025-01-23 18:00:00,2025-01-23 18:00:00,L,post_n2,3.0,2757.747,2750.06,7.686999999999898,2025-01-24 20:30:00,2771.113,M30 merged cross,13.365999999999984,2025.01.23 18:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 18:30:00|L|S1,2025-01-23 18:30:00,2025-01-23 18:30:00,L,post_n3,1.0,2756.961,2750.593,6.367999999999938,2025-01-24 02:00:00,2769.697,2.0R TP,12.735999999999876,2025.01.23 18:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 18:30:00|L|S2,2025-01-23 18:30:00,2025-01-23 18:30:00,L,post_n3,2.0,2756.961,2750.593,6.367999999999938,2025-01-24 13:00:00,2782.4329999999995,4.0R forced,25.471999999999756,2025.01.23 18:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 18:30:00|L|S3,2025-01-23 18:30:00,2025-01-23 18:30:00,L,post_n3,3.0,2756.961,2750.593,6.367999999999938,2025-01-24 20:30:00,2771.113,M30 merged cross,14.152000000000044,2025.01.23 18:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 19:30:00|L|S1,2025-01-23 19:30:00,2025-01-23 19:30:00,L,post_n5,1.0,2756.701,2751.434,5.266999999999825,2025-01-23 20:00:00,2751.434,SL hit,-5.266999999999825,2025.01.23 19:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 19:30:00|L|S2,2025-01-23 19:30:00,2025-01-23 19:30:00,L,post_n5,2.0,2756.701,2751.434,5.266999999999825,2025-01-23 20:00:00,2751.434,trail/SL hit,-5.266999999999825,2025.01.23 19:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.01.23 19:30:00|L|S3,2025-01-23 19:30:00,2025-01-23 19:30:00,L,post_n5,3.0,2756.701,2751.434,5.266999999999825,2025-01-23 20:00:00,2751.434,SL hit,-5.266999999999825,2025.01.23 19:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.02.04 10:00:00|L|S1,2025-02-04 10:00:00,2025-02-04 10:00:00,L,cross,1.0,2820.271,2815.115,5.156000000000404,2025-02-04 10:30:00,2815.115,SL hit,-5.156000000000404,2025.02.04 10:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.02.04 10:00:00|L|S2,2025-02-04 10:00:00,2025-02-04 10:00:00,L,cross,2.0,2820.271,2815.115,5.156000000000404,2025-02-04 10:30:00,2815.115,trail/SL hit,-5.156000000000404,2025.02.04 10:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.02.04 10:00:00|L|S3,2025-02-04 10:00:00,2025-02-04 10:00:00,L,cross,3.0,2820.271,2815.115,5.156000000000404,2025-02-04 10:30:00,2815.115,SL hit,-5.156000000000404,2025.02.04 10:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 01:30:00|L|S1,2025-02-07 01:30:00,2025-02-07 01:30:00,L,post_n3,1.0,2862.915,2856.831,6.083999999999833,2025-02-07 13:30:00,2856.831,SL hit,-6.083999999999833,2025.02.07 01:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 01:30:00|L|S2,2025-02-07 01:30:00,2025-02-07 01:30:00,L,post_n3,2.0,2862.915,2856.831,6.083999999999833,2025-02-07 13:30:00,2856.831,trail/SL hit,-6.083999999999833,2025.02.07 01:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 01:30:00|L|S3,2025-02-07 01:30:00,2025-02-07 01:30:00,L,post_n3,3.0,2862.915,2856.831,6.083999999999833,2025-02-07 13:30:00,2856.831,SL hit,-6.083999999999833,2025.02.07 01:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.02.07 02:00:00|BUY|S2,2025.02.07 01:00,2025.02.07 02:00,BUY,post_n,2.0,2025.02.07 02:00,2866.283,2856.83055,2025.02.07 02:00,2868.439,M30 merged cross,2.156,2.156,487.6045,2025.02.07 02:00:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.02.07 02:00:00|BUY|S3,2025.02.07 01:00,2025.02.07 02:00,BUY,post_n,3.0,2025.02.07 02:00,2866.283,2856.83055,2025.02.07 02:00,2868.439,M30 merged cross,2.156,3.234,490.8385,2025.02.07 02:00:00|BUY|S3,right_only,,,,
2025.02.07 02:00:00|L|S1,2025-02-07 02:00:00,2025-02-07 02:00:00,L,post_n4,1.0,2866.283,2857.558,8.724999999999909,2025-02-07 13:30:00,2857.558,SL hit,-8.724999999999909,2025.02.07 02:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 02:00:00|L|S2,2025-02-07 02:00:00,2025-02-07 02:00:00,L,post_n4,2.0,2866.283,2857.558,8.724999999999909,2025-02-07 13:30:00,2857.558,trail/SL hit,-8.724999999999909,2025.02.07 02:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 02:00:00|L|S3,2025-02-07 02:00:00,2025-02-07 02:00:00,L,post_n4,3.0,2866.283,2857.558,8.724999999999909,2025-02-07 13:30:00,2857.558,SL hit,-8.724999999999909,2025.02.07 02:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 02:30:00|L|S1,2025-02-07 02:30:00,2025-02-07 02:30:00,L,post_n5,1.0,2868.489,2858.395,10.094000000000053,2025-02-07 13:30:00,2858.395,SL hit,-10.094000000000053,2025.02.07 02:30:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 02:30:00|L|S2,2025-02-07 02:30:00,2025-02-07 02:30:00,L,post_n5,2.0,2868.489,2858.395,10.094000000000053,2025-02-07 13:30:00,2858.395,trail/SL hit,-10.094000000000053,2025.02.07 02:30:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 02:30:00|L|S3,2025-02-07 02:30:00,2025-02-07 02:30:00,L,post_n5,3.0,2868.489,2858.395,10.094000000000053,2025-02-07 13:30:00,2858.395,SL hit,-10.094000000000053,2025.02.07 02:30:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 03:00:00|L|S1,2025-02-07 03:00:00,2025-02-07 03:00:00,L,post_n6,1.0,2868.758,2859.189,9.56899999999996,2025-02-07 06:30:00,2859.189,SL hit,-9.56899999999996,2025.02.07 03:00:00|L|S1,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 03:00:00|L|S2,2025-02-07 03:00:00,2025-02-07 03:00:00,L,post_n6,2.0,2868.758,2859.189,9.56899999999996,2025-02-07 06:30:00,2859.189,trail/SL hit,-9.56899999999996,2025.02.07 03:00:00|L|S2,,,,,,,,,,,,,,,,left_only,,,,
2025.02.07 03:00:00|L|S3,2025-02-07 03:00:00,2025-02-07 03:00:00,L,post_n6,3.0,2868.758,2859.189,9.56899999999996,2025-02-07 06:30:00,2859.189,SL hit,-9.56899999999996,2025.02.07 03:00:00|L|S3,,,,,,,,,,,,,,,,left_only,,,,
,,,,,,,,,,,,,2025.02.07 03:30:00|BUY|S2,2025.02.07 02:30,2025.02.07 03:30,BUY,post_n,2.0,2025.02.07 03:30,2867.481,2859.18945,2025.02.07 03:30,2867.193,M30 merged cross,-0.288,-0.288,490.5505,2025.02.07 03:30:00|BUY|S2,right_only,,,,
,,,,,,,,,,,,,2025.02.07 03:30:00|BUY|S3,2025.02.07 02:30,2025.02.07 03:30,BUY,post_n,3.0,2025.02.07 03:30,2867.481,2859.18945,2025.02.07 03:30,2867.193,M30 merged cross,-0.288,-0.432,490.1185,2025.02.07 03:30:00|BUY|S3,right_only,,,,
