tf,n_min,thr,pct_spec,n,wr,pf0,ev0,test_pf0,avg_stop_pct,pos_years
2H,8,0.5,0.05-2%,17,17.647058823529413,0.7343629343629314,-0.1618823529411787,0.0,1.623261040583371,2/4
2H,12,0.5,0.05-2%,12,8.333333333333332,0.3943501393463372,-0.39841666666666953,0.0,1.588964810049396,1/4
2H,16,0.5,0.05-2%,10,10.0,0.4586709886547788,-0.3674000000000035,0.0,1.6567505203377315,1/4
