strategy,n,win_rate,avg_pts,expectancy_per_trade_pts,profit_factor,bucket,p
1H_M30_4H,572,0.3723776223776224,10.649170033201724,10.649170033201724,1.4737526476741756,,
1H_M30_4H,140,0.4714285714285714,28.942874546230712,,,±1h内,0.0038
1H_M30_4H,432,0.3402777777777778,4.720654681757143,,,±1h外,
1H_M30_4H,213,0.4460093896713615,26.54909930288216,,,±2h内,0.0012
1H_M30_4H,359,0.3286908077994429,1.215507263168487,,,±2h外,
1H_M30_4H,323,0.4024767801857585,19.192615050064873,,,±4h内,0.0068
1H_M30_4H,249,0.3333333333333333,-0.43329077180549685,,,±4h外,
1H_M30_4H,454,0.3744493392070485,11.61583983603112,,,±8h内,0.5934
1H_M30_4H,118,0.3644067796610169,6.929948927400483,,,±8h外,
1H_M30_4H,500,0.374,9.446695773642881,,,±12h内,0.3822
1H_M30_4H,72,0.3611111111111111,18.999685724582566,,,±12h外,
1H_M30_4H,556,0.3669064748201439,8.88721351495928,,,±24h内,0.0072
1H_M30_4H,16,0.5625,71.87715904212659,,,±24h外,
1H_M30_4H,303,0.636963696369637,47.64166166946106,,,持仓期事件,0.0
30m2H,149,0.37583892617449666,25.456780196432724,25.456780196432724,2.2033830482984893,,
30m2H,29,0.3448275862068966,16.62953993865916,,,±1h内,0.6826
30m2H,120,0.38333333333333336,27.590029925394667,,,±1h外,
30m2H,40,0.375,44.450748911736476,,,±2h内,0.2788
30m2H,109,0.3761467889908257,18.486516447697404,,,±2h外,
30m2H,69,0.4057971014492754,32.33142383004312,,,±4h内,0.5834
30m2H,80,0.35,19.52740006244376,,,±4h外,
30m2H,98,0.3877551020408163,27.932395806520194,,,±8h内,0.7628
30m2H,51,0.35294117647058826,20.699714906460727,,,±8h外,
30m2H,120,0.4083333333333333,24.04481354727128,,,±12h内,0.7862
30m2H,29,0.2413793103448276,31.299400813652507,,,±12h外,
30m2H,134,0.373134328358209,21.256601840710644,,,±24h内,0.1806
30m2H,15,0.4,62.97837350755,,,±24h外,
30m2H,62,0.7096774193548387,75.77193119457512,,,持仓期事件,0.0
2H_M30_6H,1071,0.3352007469654528,9.30703042512424,9.30703042512424,1.5178165479406684,,
2H_M30_6H,322,0.36024844720496896,11.200267342883532,,,±1h内,0.5752
2H_M30_6H,749,0.32443257676902537,8.493115488517445,,,±1h外,
2H_M30_6H,447,0.36465324384787473,10.621861490519022,,,±2h内,0.618
2H_M30_6H,624,0.3141025641025641,8.36515624847125,,,±2h外,
2H_M30_6H,638,0.3542319749216301,9.716219634642774,,,±4h内,0.8232
2H_M30_6H,433,0.3071593533487298,8.704114222646593,,,±4h外,
2H_M30_6H,828,0.3248792270531401,8.105271261695735,,,±8h内,0.3206
2H_M30_6H,243,0.37037037037037035,13.401913500510265,,,±8h外,
2H_M30_6H,925,0.3286486486486486,7.321652886879864,,,±12h内,0.0316
2H_M30_6H,146,0.3767123287671233,21.885620992768423,,,±12h外,
2H_M30_6H,1019,0.34052993130520115,9.328093477009713,,,±24h内,0.972
2H_M30_6H,52,0.23076923076923078,8.894275619907043,,,±24h外,
2H_M30_6H,489,0.6339468302658486,42.84135088921518,,,持仓期事件,0.0
BiasReversal,289,0.33217993079584773,741.3263543252596,741.3263543252596,2.004633705576433,,
BiasReversal,77,0.36363636363636365,1031.234207792208,,,±1h内,0.4744
BiasReversal,212,0.32075471698113206,636.029633962264,,,±1h外,
BiasReversal,113,0.40707964601769914,1541.6744530973463,,,±2h内,0.0064
BiasReversal,176,0.2840909090909091,227.46649545454483,,,±2h外,
BiasReversal,155,0.34838709677419355,1022.6855380645164,,,±4h内,0.2046
BiasReversal,134,0.31343283582089554,415.87356716417867,,,±4h外,
BiasReversal,212,0.33962264150943394,932.8793433962268,,,±8h内,0.1838
BiasReversal,77,0.3116883116883117,213.9337090909084,,,±8h外,
BiasReversal,238,0.3319327731092437,779.4445815126059,,,±12h内,0.7348
BiasReversal,51,0.3333333333333333,563.4412941176436,,,±12h外,
BiasReversal,262,0.33587786259541985,798.5054244274811,,,±24h内,0.4502
BiasReversal,27,0.2962962962962963,186.47759999999766,,,±24h外,
BiasReversal,191,0.46596858638743455,1495.6176921465965,,,持仓期事件,0.0
USOIL2H,55,0.2545454545454545,162.5124487171664,162.5124487171664,1.4456210477859992,,
USOIL2H,4,0.5,1659.288834206375,,,±1h内,
USOIL2H,51,0.23529411764705882,45.11822240428724,,,±1h外,
USOIL2H,7,0.2857142857142857,746.2795455590075,,,±2h内,0.2222
USOIL2H,48,0.25,77.37974709439786,,,±2h外,
USOIL2H,17,0.23529411764705882,275.6222243731995,,,±4h内,0.683
USOIL2H,38,0.2631578947368421,111.91070697630938,,,±4h外,
USOIL2H,30,0.26666666666666666,278.4277846563446,,,±8h内,0.498
USOIL2H,25,0.24,23.414045590152437,,,±8h外,
USOIL2H,40,0.3,274.7048381048326,,,±12h内,0.3222
USOIL2H,15,0.13333333333333333,-136.66725631661058,,,±12h外,
USOIL2H,53,0.2641509433962264,189.47016968150328,,,±24h内,
USOIL2H,2,0.0,-551.867156837762,,,±24h外,
USOIL2H,33,0.42424242424242425,574.8567252343346,,,持仓期事件,0.0028
USOIL4H,72,0.18055555555555555,215.51388888888889,215.51388888888889,1.734219740702186,,
USOIL4H,22,0.13636363636363635,271.95454545454544,,,±1h内,0.8538
USOIL4H,50,0.2,190.68,,,±1h外,
USOIL4H,33,0.09090909090909091,76.60606060606061,,,±2h内,0.5116
USOIL4H,39,0.2564102564102564,333.05128205128204,,,±2h外,
USOIL4H,45,0.13333333333333333,145.95555555555555,,,±4h内,0.6602
USOIL4H,27,0.25925925925925924,331.44444444444446,,,±4h外,
USOIL4H,54,0.1111111111111111,73.92592592592592,,,±8h内,0.1828
USOIL4H,18,0.3888888888888889,640.2777777777778,,,±8h外,
USOIL4H,61,0.11475409836065574,51.59016393442623,,,±12h内,0.0382
USOIL4H,11,0.5454545454545454,1124.5454545454545,,,±12h外,
USOIL4H,70,0.15714285714285714,121.3,,,±24h内,
USOIL4H,2,1.0,3513.0,,,±24h外,
USOIL4H,30,0.43333333333333335,967.0333333333333,,,持仓期事件,0.0
