strategy,variant,n,win_rate,avg_pts,total_pts,profit_factor,max_dd_pts,dropped_n,forced,halved
1H_M30_4H,baseline,572,0.3723776223776224,10.649170033201724,6091.325258991386,1.4737526476741756,2334.2040327413297,,,
1H_M30_4H,V1_T1h,517,0.3617021276595745,9.014227105597705,4660.355413594013,1.3938038022477,2037.5003444869603,55.0,,
1H_M30_4H,V1_T2h,476,0.34663865546218486,6.762257247558568,3218.8344498378783,1.2869452435189217,2341.9487574315795,96.0,,
1H_M30_4H,V1_T4h,418,0.3373205741626794,2.497228223486454,1043.8413974173377,1.1024106049049964,3434.9120899709224,154.0,,
1H_M30_4H,V1_T8h,312,0.3333333333333333,4.432912893640836,1383.0688228159408,1.1791878828782778,2585.2312107591342,260.0,,
1H_M30_4H,V2_event_close,572,0.4090909090909091,-6.164146375621174,-3525.8917268553114,0.6327661919533173,3610.4307268553166,,315.0,
1H_M30_4H,V3_T2h,476,0.3907563025210084,-8.031270434569992,-3822.884726855316,0.5865538388681153,3907.423726855317,96.0,315.0,
1H_M30_4H,V4_T2h,572,0.3723776223776224,7.427005612619381,4248.247210418286,1.354656262709095,2179.7166886141385,,,108.0
1H_M30_4H,V4_T4h,572,0.3723776223776224,5.954644423397998,3406.056610183655,1.2985195555017948,2322.325964837838,,,167.0
30m2H,baseline,149,0.37583892617449666,25.456780196432724,3793.060249268476,2.2033830482984893,659.9302902526601,,,
30m2H,V1_T1h,139,0.3669064748201439,23.872702081289194,3318.305589299198,2.1000453624708393,655.4005696150306,10.0,,
30m2H,V1_T2h,128,0.375,25.85036182316385,3308.846313364973,2.2534467612257845,523.4155696150309,21.0,,
30m2H,V1_T4h,115,0.3652173913043478,26.63508109590003,3063.0343260285035,2.2851403126499386,462.405893969064,34.0,,
30m2H,V1_T8h,98,0.32653061224489793,22.478784598988792,2202.9208907009015,2.0342305842220405,575.6920723431042,51.0,,
30m2H,V2_event_close,149,0.3624161073825503,2.1781242631195963,324.5405152048198,1.127308115117155,777.323990751201,,63.0,
30m2H,V3_T2h,128,0.375,3.646558712537651,466.7595152048193,1.1985138408922147,687.1889907512003,21.0,63.0,
30m2H,V4_T2h,149,0.37583892617449666,24.362649539038415,3630.0347813167236,2.2887013164805716,542.2764299338457,,,24.0
30m2H,V4_T4h,149,0.37583892617449666,22.515855499347182,3354.8624694027303,2.220035733869198,525.5424299338458,,,37.0
2H_M30_6H,baseline,1071,0.3352007469654528,9.30703042512424,9967.829585308062,1.5178165479406684,2306.6741503140056,,,
2H_M30_6H,V1_T1h,945,0.3343915343915344,9.04732594630344,8549.723019256751,1.5021252476075202,2109.4845146757534,126.0,,
2H_M30_6H,V1_T2h,845,0.3431952662721893,9.980571451458541,8433.582876482467,1.5630967786035728,1797.694447021463,226.0,,
2H_M30_6H,V1_T4h,723,0.35131396957123096,10.204659949889743,7377.969143770284,1.585299010165037,1916.9957284147122,348.0,,
2H_M30_6H,V1_T8h,582,0.3694158075601375,11.06021755782201,6437.04661865241,1.6475739033140713,1291.3131008106884,489.0,,
2H_M30_6H,V2_event_close,1071,0.37254901960784315,-4.672639673551496,-5004.397090373652,0.6639639002399275,6780.22410939735,,504.0,
2H_M30_6H,V3_T2h,845,0.3680473372781065,-4.57863077636455,-3868.9430060280447,0.7060487119533135,5549.778025051725,226.0,504.0,
2H_M30_6H,V4_T2h,1071,0.3352007469654528,8.323841780754226,8914.834547187775,1.5318636342924319,2186.8277896408554,,,256.0
2H_M30_6H,V4_T4h,1071,0.3352007469654528,8.04743128275544,8618.798903831077,1.5470842848938926,2066.06190763992,,,369.0
BiasReversal,baseline,289,0.33217993079584773,741.3263543252596,214243.3164,2.004633705576433,31123.257200000167,,,
BiasReversal,V1_T1h,253,0.308300395256917,611.0468426877462,154594.8511999998,1.82344704752336,37824.069600000075,36.0,,
BiasReversal,V1_T2h,232,0.3103448275862069,616.3242482758618,142987.22559999995,1.836845250258865,33999.069600000075,57.0,,
BiasReversal,V1_T4h,196,0.2857142857142857,372.0261061224497,72917.11680000013,1.4877642823015595,31778.624400000088,93.0,,
BiasReversal,V1_T8h,150,0.25333333333333335,189.8276533333351,28474.148000000263,1.2270859098552533,26136.314800000033,139.0,,
BiasReversal,V2_event_close,289,0.3737024221453287,11.139921107265975,3219.4371999998666,1.0227881232771316,20404.019199999995,,193.0,
BiasReversal,V3_T2h,232,0.3577586206896552,10.941970689654642,2538.537199999877,1.020329948442115,16642.780400000174,57.0,193.0,
BiasReversal,V4_T2h,289,0.33217993079584773,566.7496996539794,163790.66320000004,1.8617303635365625,29393.97820000013,,,65.0
BiasReversal,V4_T4h,289,0.33217993079584773,489.42375986159186,141443.46660000004,1.7828663217904013,28322.32360000012,,,97.0
USOIL2H,baseline,55,0.2545454545454545,162.5124487171664,8938.184679444152,1.4456210477859992,5432.602351882948,,,
USOIL2H,V1_T1h,53,0.24528301886792453,85.0841402464122,4509.459433059847,1.2310346625350577,5432.602351882948,2.0,,
USOIL2H,V1_T2h,51,0.23529411764705882,42.59415913823068,2172.3021160497647,1.114075333720473,6021.49370759271,4.0,,
USOIL2H,V1_T4h,48,0.25,70.22128438852648,3370.621650649271,1.18888983323826,6021.49370759271,7.0,,
USOIL2H,V1_T8h,40,0.275,71.89004624546091,2875.601849818436,1.1930659984259513,5709.7953999085,15.0,,
USOIL2H,V2_event_close,55,0.41818181818181815,99.85795455139498,5492.187500326724,1.4951122630521805,3550.3995247789367,,34.0,
USOIL2H,V3_T2h,51,0.4117647058823529,108.23897059464169,5520.187500326726,1.500842080237746,3528.399524778932,4.0,34.0,
USOIL2H,V4_T2h,55,0.2545454545454545,102.66958569923604,5646.827213457982,1.2901959077786354,5432.602351882948,,,5.0
USOIL2H,V4_T4h,55,0.2545454545454545,120.55983456419874,6630.79090103093,1.3589117893824347,5432.602351882948,,,9.0
USOIL4H,baseline,72,0.18055555555555555,215.51388888888889,15517.0,1.734219740702186,11743.0,,,
USOIL4H,V1_T1h,65,0.2,278.89230769230767,18128.0,1.9786751606111321,10911.0,7.0,,
USOIL4H,V1_T2h,60,0.2,273.93333333333334,16436.0,1.9700761376379625,10807.0,12.0,,
USOIL4H,V1_T4h,49,0.22448979591836735,317.0204081632653,15534.0,2.169376693766938,9680.0,23.0,,
USOIL4H,V1_T8h,40,0.275,476.925,19077.0,2.9584231598398523,7301.0,32.0,,
USOIL4H,V2_event_close,72,0.3611111111111111,75.01388888888931,5401.00000000003,1.389992057188247,6236.99999999999,,30.0,
