strategy,family,variant,n,win_rate,avg_pts,total_pts,pf,max_dd_pts,sl_total
1H_M30_4H,基线,baseline,572,0.3723776223776224,10.649170033201724,6091.325258991386,1.4737526476741758,2334.2040327413297,12857.606788892725
1H_M30_4H,冷却,cd_post=6bar,218,0.37155963302752293,14.334566837169337,3124.9355705029157,1.6508068921050074,1114.371909748148,4801.632570908158
1H_M30_4H,冷却,loss_cd 2连亏120h,273,0.3772893772893773,6.107732925261379,1667.4110885963564,1.3064251206567703,1068.9073447338774,5441.496066061891
1H_M30_4H,冷却,cd_post6bar+loss_cd,120,0.35833333333333334,13.831088608649642,1659.730633037957,1.6070323781313862,643.7570310378596,2734.1715085232645
1H_M30_4H,消息面,news_V1_T1h,522,0.3524904214559387,7.979176578411194,4165.130173930644,1.342491212358751,2242.7093444869615,12161.2760375521
1H_M30_4H,消息面,news_V1_T2h,480,0.33541666666666664,4.817394389572142,2312.349306994628,1.2001024764248795,2811.8420647130074,11555.825536535554
1H_M30_4H,消息面,news_V1_T4h,421,0.33729216152019004,1.4916107043357858,627.9681065253658,1.060274351048098,3760.536592209479,10418.49635219227
1H_M30_4H,消息面,news_V1_T8h,313,0.33865814696485624,4.605314779559402,1441.4635260020927,1.1855501482781337,2610.7892107591324,7768.59269248001
1H_M30_4H,组合,news_T1h+cd+loss_cd,123,0.3902439024390244,19.58388661436249,2408.8180535665865,1.952254459911966,514.358529810434,2529.5949296885174
30m2H,基线,baseline,149,0.37583892617449666,25.456780196432724,3793.060249268476,2.2033830482984893,659.9302902526601,3151.9974081666123
30m2H,冷却,cd_post=3bar,96,0.375,29.405142229013396,2822.893653985286,2.3362789097222443,448.75099999998974,2112.503335528992
30m2H,冷却,loss_cd 2连亏120h,54,0.4074074074074074,39.843653418864,2151.557284618656,3.480425690214971,292.2545255811192,867.4145301374408
30m2H,冷却,cd_post3bar+loss_cd,38,0.34210526315789475,44.79242514219232,1702.1121554033082,3.3781665762894155,176.4281652623057,715.7245301374406
30m2H,消息面,news_V1_T1h,137,0.3795620437956204,25.135036153621613,3443.499953046161,2.1953600159442033,631.6039999999871,2880.7220478477966
30m2H,消息面,news_V1_T2h,128,0.390625,28.758089476923104,3681.0354530461573,2.4616424331684357,462.405893969064,2518.4240478477996
30m2H,消息面,news_V1_T4h,115,0.3652173913043478,27.22339851494061,3130.69082921817,2.312986160654196,462.4058939690635,2384.405047847801
30m2H,消息面,news_V1_T8h,100,0.33,22.002390303820885,2200.2390303820885,2.0154331876411087,558.3214326619188,2166.7984237282317
30m2H,组合,news_T2h+cd+loss_cd,34,0.3235294117647059,2.1267973723842433,72.31111066106428,1.1106443558481767,343.62711498911744,653.5454077773992
2H_M30_6H,基线,baseline,1071,0.3352007469654528,9.30703042512424,9967.829585308062,1.5178165479406684,2306.6741503140056,19249.731637487515
2H_M30_6H,冷却,cd_post=3bar,603,0.33001658374792703,9.045528746164614,5454.453833937262,1.5172676483430412,1242.2516457264187,10544.741878618284
2H_M30_6H,冷却,loss_cd 2连亏120h,441,0.3673469387755102,9.94427387920385,4385.4247807288975,1.6098383438201047,918.8531336034589,7191.126673436174
2H_M30_6H,冷却,cd_post3bar+loss_cd,270,0.3592592592592593,10.51316297507206,2838.554003269456,1.6517440286373342,482.80953985855194,4355.320307581953
2H_M30_6H,消息面,news_V1_T1h,949,0.34141201264488935,10.173661680633646,9654.80493492133,1.5764760144086838,1966.0340871630533,16747.97336507518
2H_M30_6H,消息面,news_V1_T2h,850,0.34941176470588237,10.250907201679027,8713.271121427173,1.587445279437167,2164.2550649038867,14832.481298982239
2H_M30_6H,消息面,news_V1_T4h,726,0.35674931129476584,11.097750009529022,8056.96650691807,1.6422828310759885,1916.9957284147122,12544.26573013105
2H_M30_6H,消息面,news_V1_T8h,594,0.3720538720538721,10.987950363124291,6526.842515695829,1.6496962897593717,1291.3131008106875,10045.99013196332
2H_M30_6H,组合,news_T1h+cd+loss_cd,252,0.3373015873015873,5.884369922200186,1482.861220394447,1.3539067745164182,560.3240045685382,4189.976929434717
