action,variant,n,wr,total,avg,pf,maxdd
USOIL4H事件门,baseline,72,0.18055555555555555,15517.0,215.51388888888889,1.734219740702186,11743.0
USOIL4H事件门,event_gate_T1h,66,0.18181818181818182,14795.0,224.16666666666666,1.7961149375807146,11519.0
USOIL4H事件门,event_gate_T2h,63,0.19047619047619047,15687.0,249.0,1.8866719421207325,11415.0
USOIL4H事件门,event_gate_T4h,50,0.22,15611.0,312.22,2.1820246838797606,9253.0
USOIL4H事件门,event_gate_T8h,39,0.2564102564102564,10073.0,258.28205128205127,2.0401693515076413,6894.0
1H_post_n降档,post_n2-6,572,0.3723776223776224,6091.325258991386,10.649170033201724,1.4737526476741758,2334.2040327413297
1H_post_n降档,post_n2-5,518,0.3783783783783784,6138.709239801237,11.850790038226327,1.5334552028173127,1986.37103274133
1H_post_n降档,post_n2-4,444,0.39414414414414417,6131.555577787704,13.809809859882217,1.6370921475036186,1620.7066986650093
BiasReversal做空侧,baseline(多+空),289,0.33217993079584773,214243.3164,741.3263543252596,2.004633705576433,33739.184800000075
BiasReversal做空侧,仅做多,265,0.3320754716981132,213455.8336000002,805.4937116981139,2.37284510017724,18986.667200000084
BiasReversal做空侧,仅做空,24,0.3333333333333333,787.4827999998179,32.81178333332574,1.0136311388581776,24722.569600000043
