symbol,window,event_mean_abs_ret,baseline_mean_abs_ret,ratio,category
XAUUSDm,±30m,0.0027526882581329595,0.0010194545913483038,2.7001577917191257,
XAUUSDm,±60m,0.00343767673658826,0.0010194564414766293,3.372068287301187,
XAUUSDm,后60m,0.0028260120420298103,0.0010195162305428618,2.7719147153989336,
XAUUSDm,后4h,0.004280382994492515,0.0010195039596712651,4.198495703609339,
XAUUSDm,±60m_bycat,0.004001697373983177,0.0010194564414766293,3.9253245270459303,CPI通胀
XAUUSDm,±60m_bycat,0.0032120310134358277,0.0010194564414766293,3.150729038293553,EIA原油库存
XAUUSDm,±60m_bycat,0.005124225758479553,0.0010194564414766293,5.026429330376667,FOMC利率决议
XAUUSDm,±60m_bycat,0.002753339163130043,0.0010194564414766293,2.7007913738246385,GDP
XAUUSDm,±60m_bycat,0.0036658560067578537,0.0010194564414766293,3.595892730294639,PCE通胀
XAUUSDm,±60m_bycat,0.0039122164849037695,0.0010194564414766293,3.83755139085406,PMI景气
XAUUSDm,±60m_bycat,0.004361704635840565,0.0010194564414766293,4.2784610095972955,PPI生产者价格
XAUUSDm,±60m_bycat,0.0028440695571652964,0.0010194564414766293,2.789790168028965,其他
XAUUSDm,±60m_bycat,0.004500369984042862,0.0010194564414766293,4.414479913947389,失业率/初请
XAUUSDm,±60m_bycat,0.0032688018786830447,0.0010194564414766293,3.2064164251572693,工业/耐用品
XAUUSDm,±60m_bycat,0.003723654770062429,0.0010194564414766293,3.6525883976650437,房价/建筑
XAUUSDm,±60m_bycat,0.0034794749956177373,0.0010194564414766293,3.413068821830092,消费者信心
XAUUSDm,±60m_bycat,0.002407303953631678,0.0010194564414766293,2.361360285432916,美债拍卖/收益率
XAUUSDm,±60m_bycat,0.002888971766995016,0.0010194564414766293,2.8338354141060615,零售销售
XAUUSDm,±60m_bycat,0.004899041378571195,0.0010194564414766293,4.80554261982512,非农就业
USOILm,±30m,0.005281444216896388,0.002457465786830164,2.149142521210363,
USOILm,±60m,0.006986119237462014,0.00245743802406609,2.8428465617630283,
USOILm,后60m,0.005514194026414877,0.0024578844089856574,2.24347166459733,
USOILm,后4h,0.009429166889284435,0.0024579744528309033,3.8361533328487836,
USOILm,±60m_bycat,0.006576475958411338,0.00245743802406609,2.676151298224753,CPI通胀
USOILm,±60m_bycat,0.00888565946096684,0.00245743802406609,3.615822402822831,EIA原油库存
USOILm,±60m_bycat,0.0055579450161210514,0.00245743802406609,2.2616826799663685,FOMC利率决议
USOILm,±60m_bycat,0.004519850310626373,0.00245743802406609,1.8392530213835485,GDP
USOILm,±60m_bycat,0.007625934629838963,0.00245743802406609,3.103205271163279,PCE通胀
USOILm,±60m_bycat,0.009716084273982406,0.00245743802406609,3.9537453961529097,PMI景气
USOILm,±60m_bycat,0.0076172282956665106,0.00245743802406609,3.0996624212166313,PPI生产者价格
USOILm,±60m_bycat,0.006407361713235826,0.00245743802406609,2.607334000079551,其他
USOILm,±60m_bycat,0.007722418102877155,0.00245743802406609,3.142467084520651,失业率/初请
USOILm,±60m_bycat,0.006493215620345371,0.00245743802406609,2.6422703469044815,工业/耐用品
USOILm,±60m_bycat,0.009182128947591914,0.00245743802406609,3.736464097026998,房价/建筑
USOILm,±60m_bycat,0.008967414724954723,0.00245743802406609,3.649090897567049,消费者信心
USOILm,±60m_bycat,0.007692140932125339,0.00245743802406609,3.130146460173137,美债拍卖/收益率
USOILm,±60m_bycat,0.005437059885375212,0.00245743802406609,2.2124911522199953,零售销售
USOILm,±60m_bycat,0.008297092002025276,0.00245743802406609,3.37631790538378,非农就业
