signal_bar_idx,entry_bar_idx,mode,dir,signal_time,entry_time,entry,stop,stop_source,stop_distance,planned_cross_idx,planned_exit_idx,exit_time_x,exit,exp_reason,exp_pnl,holding_bars,stop_hit,pnl_usd_001,risk_r,stop_pct_x,entry_time_n,key,entry_ea,stop_ea,stop_pct_y,exit_time_y,exit_price_ea,reason,pnl_ea,pnl_usd,virtual_balance,reason_ea,pnl_diff,entry_diff,exit_diff
8972,8973,pre_cross,S,2024-04-04 16:00:00,2024-04-04 16:00:00,84.576,84.749,prev_segment_sma13_extreme,0.173,8999,9000,2024-04-04 16:00:00,84.749,stop,-0.173,1,True,-0.173,-1.0,0.2045497540673477,2024-04-04 16:00:00,2024-04-04 16:00:00|S,84.576,84.74932,0.205,2024.04.04 16:00,84.74932,SL hit,-0.17332,-5.58283,552.70026,stop,0.0003200000000000147,0.0,0.0003200000000020964
9357,9358,pre_cross,S,2024-05-20 18:00:00,2024-05-20 18:00:00,78.878,79.165,prev_segment_sma13_extreme,0.287,9407,9408,2024-05-20 18:00:00,79.165,stop,-0.287,1,True,-0.287,-1.0,0.3638530388701539,2024-05-20 18:00:00,2024-05-20 18:00:00|S,78.878,79.16474,0.364,2024.05.20 18:00,79.16474,SL hit,-0.28674,-5.527,547.17326,stop,0.00025999999999998247,0.0,0.0002600000000114733
9361,9362,pre_cross,S,2024-05-21 02:00:00,2024-05-21 02:00:00,78.991,79.165,prev_segment_sma13_extreme,0.174,9407,9408,2024-05-26 22:00:00,77.601,opposite_cross_next_open,1.39,46,False,1.39,7.988505747126437,0.2202782595485561,2024-05-21 02:00:00,2024-05-21 02:00:00|S,78.991,79.16474,0.22,2024.05.26 22:00,77.601,opposite cross,1.39,43.77567,590.94893,opposite_cross_next_open,0.0,0.0,0.0
9362,9363,cross,S,2024-05-21 04:00:00,2024-05-21 04:00:00,78.796,79.165,prev_segment_sma13_extreme,0.369,9407,9408,2024-05-26 22:00:00,77.601,opposite_cross_next_open,1.195,45,False,1.195,3.2384823848238486,0.4682978831412761,2024-05-21 04:00:00,2024-05-21 04:00:00|S,78.796,79.16474,0.468,2024.05.26 22:00,77.601,opposite cross,1.195,19.15112,610.10005,opposite_cross_next_open,0.0,0.0,0.0
9445,9446,cross,S,2024-05-30 06:00:00,2024-05-30 06:00:00,78.803,79.254,prev_segment_sma13_extreme,0.451,9504,9505,2024-06-06 04:00:00,74.242,opposite_cross_next_open,4.561,59,False,4.561,10.113082039911308,0.5723132368057054,2024-05-30 06:00:00,2024-05-30 06:00:00|S,78.803,79.25368,0.572,2024.06.06 04:00,74.242,opposite cross,4.561,61.74374,671.84379,opposite_cross_next_open,0.0,0.0,0.0
9733,9734,pre_cross,S,2024-07-03 10:00:00,2024-07-03 10:00:00,82.347,82.526,prev_segment_sma13_extreme,0.179,9799,9800,2024-07-03 12:00:00,82.526,stop,-0.179,2,True,-0.179,-1.0,0.2173728247537858,2024-07-03 10:00:00,2024-07-03 10:00:00|S,82.347,82.52567,0.217,2024.07.03 12:00,82.52567,SL hit,-0.17867,-6.71844,665.12536,stop,0.00032999999999999696,0.0,0.00032999999999105967
9744,9745,pre_cross,S,2024-07-04 08:00:00,2024-07-04 08:00:00,82.563,82.718,prev_segment_sma13_extreme,0.155,9799,9800,2024-07-04 08:00:00,82.718,stop,-0.155,1,True,-0.155,-1.0,0.1877354262805373,2024-07-04 08:00:00,2024-07-04 08:00:00|S,82.563,82.71798,0.188,2024.07.04 08:00,82.71798,SL hit,-0.15498,-6.65125,658.4741,stop,1.9999999999992246e-05,0.0,2.0000000006348273e-05
9759,9760,pre_cross,S,2024-07-05 18:00:00,2024-07-05 18:00:00,82.837,83.136,prev_segment_sma13_extreme,0.299,9799,9800,2024-07-11 02:00:00,81.941,opposite_cross_next_open,0.896,40,False,0.8960000000000001,2.996655518394649,0.3609498171107114,2024-07-05 18:00:00,2024-07-05 18:00:00|S,82.837,83.13611,0.361,2024.07.11 02:00,81.941,opposite cross,0.896,19.72499,678.19909,opposite_cross_next_open,0.0,0.0,0.0
9762,9763,cross,S,2024-07-08 00:00:00,2024-07-08 00:00:00,82.636,83.136,prev_segment_sma13_extreme,0.5,9799,9800,2024-07-11 02:00:00,81.941,opposite_cross_next_open,0.695,37,False,0.6950000000000001,1.39,0.6050631685948014,2024-07-08 00:00:00,2024-07-08 00:00:00|S,82.636,83.13611,0.605,2024.07.11 02:00,81.941,opposite cross,0.695,9.42491,687.624,opposite_cross_next_open,0.0,0.0,0.0
10094,10095,cross,S,2024-08-14 16:00:00,2024-08-14 16:00:00,76.47,77.201,prev_segment_sma13_extreme,0.731,10109,10110,2024-08-15 14:00:00,77.201,stop,-0.731,12,True,-0.731,-1.0,0.9559304302340788,2024-08-14 16:00:00,2024-08-14 16:00:00|S,76.47,77.20058,0.955,2024.08.15 14:00,77.20058,SL hit,-0.73058,-7.30576,680.31824,stop,0.00041999999999997595,0.0,0.0004199999999912052
10208,10209,cross,S,2024-08-28 04:00:00,2024-08-28 04:00:00,75.215,75.778,prev_segment_sma13_extreme,0.563,10227,10228,2024-08-29 12:00:00,75.778,stop,-0.563,17,True,-0.563,-1.0,0.748520906734029,2024-08-28 04:00:00,2024-08-28 04:00:00|S,75.215,75.77819,0.749,2024.08.29 12:00,75.77819,SL hit,-0.56319,-6.80318,673.51506,stop,0.00019000000000002348,0.0,0.00018999999998925432
10394,10395,pre_cross,S,2024-09-18 20:00:00,2024-09-18 20:00:00,68.98,69.325,prev_segment_sma13_extreme,0.345,10435,10436,2024-09-19 00:00:00,69.325,stop,-0.345,3,True,-0.345,-1.0,0.5001449695563931,2024-09-18 20:00:00,2024-09-18 20:00:00|S,68.98,69.32547,0.501,2024.09.19 00:00,69.32547,SL hit,-0.34547,-6.73515,666.77991,stop,0.00047000000000002595,0.0,0.000469999999992865
10397,10398,pre_cross,S,2024-09-19 02:00:00,2024-09-19 02:00:00,69.255,69.325,prev_segment_sma13_extreme,0.07,10435,10436,2024-09-19 02:00:00,69.325,stop,-0.07,1,True,-0.07,-1.0,0.1010757346039997,2024-09-19 02:00:00,2024-09-19 02:00:00|S,69.255,69.32547,0.102,2024.09.19 02:00,69.32547,SL hit,-0.07047,-6.6678,660.11211,stop,0.0004699999999999982,0.0,0.000469999999992865
10603,10604,cross,S,2024-10-14 06:00:00,2024-10-14 06:00:00,74.037,74.498,prev_segment_sma13_extreme,0.461,10669,10670,2024-10-21 18:00:00,70.194,opposite_cross_next_open,3.843,66,False,3.843,8.336225596529284,0.622661642151897,2024-10-14 06:00:00,2024-10-14 06:00:00|S,74.037,74.49796,0.623,2024.10.21 18:00,70.194,opposite cross,3.843,55.03375,715.14586,opposite_cross_next_open,0.0,0.0,0.0
10823,10824,cross,S,2024-11-07 14:00:00,2024-11-07 14:00:00,71.02,71.331,prev_segment_sma13_extreme,0.311,10825,10826,2024-11-07 14:00:00,71.331,stop,-0.311,1,True,-0.311,-1.0,0.4379048155449169,2024-11-07 14:00:00,2024-11-07 14:00:00|S,71.02,71.33093,0.438,2024.11.07 14:00,71.33093,SL hit,-0.31093,-7.15146,707.9944,stop,7.00000000000145e-05,0.0,7.00000000080081e-05
10834,10835,cross,S,2024-11-08 12:00:00,2024-11-08 12:00:00,71.149,71.475,prev_segment_sma13_extreme,0.326,10883,10884,2024-11-14 14:00:00,69.02,opposite_cross_next_open,2.129,49,False,2.129,6.530674846625766,0.458193368845662,2024-11-08 12:00:00,2024-11-08 12:00:00|S,71.149,71.47545,0.459,2024.11.14 14:00,69.02,opposite cross,2.129,46.17288,754.16728,opposite_cross_next_open,0.0,0.0,0.0
11154,11155,pre_cross,S,2024-12-17 10:00:00,2024-12-17 10:00:00,69.802,70.215,prev_segment_sma13_extreme,0.413,11168,11169,2024-12-18 08:00:00,70.215,stop,-0.413,12,True,-0.413,-1.0,0.591673591014584,2024-12-17 10:00:00,2024-12-17 10:00:00|S,69.802,70.21547,0.592,2024.12.18 08:00,70.21547,SL hit,-0.41347,-7.54167,746.62561,stop,0.00047000000000002595,0.0,0.000469999999992865
12150,12151,pre_cross,S,2025-04-15 16:00:00,2025-04-15 16:00:00,60.525,60.875,prev_segment_sma13_extreme,0.35,12160,12161,2025-04-15 16:00:00,60.875,stop,-0.35,1,True,-0.35,-1.0,0.5782734407269723,2025-04-15 16:00:00,2025-04-15 16:00:00|S,60.525,60.8752,0.579,2025.04.15 16:00,60.8752,SL hit,-0.3502,-7.46626,739.15935,stop,0.00020000000000003348,0.0,0.00019999999999953388
12155,12156,pre_cross,S,2025-04-16 02:00:00,2025-04-16 02:00:00,60.732,60.875,prev_segment_sma13_extreme,0.143,12160,12161,2025-04-16 08:00:00,60.875,stop,-0.143,4,True,-0.143,-1.0,0.2354607126391358,2025-04-16 02:00:00,2025-04-16 02:00:00|S,60.732,60.8752,0.236,2025.04.16 08:00,60.8752,SL hit,-0.1432,-7.39159,731.76776,stop,0.00020000000000000573,0.0,0.00019999999999953388
