Date,Time,Signal,Entry,Stop,StopPts,EstRiskUSD,M30Cross,M30Dist%,H2Dist%,H2Dir
2026-06-08,23:00,BUY,4320.721,4317.721,3.0,3.0,GOLDEN,-0.007,0.7149,BULL
2026-06-16,04:30,SELL,4322.633,4325.633,3.0,3.0,DEAD,0.0139,-0.7625,BEAR
2026-06-16,06:30,SELL,4323.703,4326.703,3.0,3.0,DEAD,0.0125,-0.7491,BEAR
2026-06-16,15:00,SELL,4325.602,4328.602,3.0,3.0,DEAD,0.0102,-0.65,BEAR
