tf,mode,thr,n,wr,pf0,ev0,test_pf0,avg_stop_pct,pos_years,pf_0.05,test_pf_0.05,pf_0.1,test_pf_0.1
2H,base,0.0,300,18.666666666666668,1.1284746375585653,0.044321805058323636,1.0881387250850214,0.5788652793847706,4/6,0.9852763582525541,0.9244244684941318,0.8694843050215632,0.7972239645922714
2H,prevseg,0.5,19,21.052631578947366,1.3720416684844652,0.1463260465115812,3.182775781499117,0.6349425519089599,2/6,1.2225754907040816,2.7724007655792997,1.0980958431965775,2.4443132890276322
2H,confirm,0.5,40,37.5,2.854841739078562,0.5389734721859751,5.967808590480061,0.6159350002631705,4/6,2.519369691203768,4.9666511735235845,2.2432813784132235,4.217048644012132
2H,confirm,0.6,24,41.66666666666667,3.5714054345471906,0.6326084062241101,16.612949208453674,0.5415624259863802,3/6,3.1171651403764393,13.97065631772711,2.7499869682340097,11.955785199297626
4H,base,0.0,102,13.725490196078432,0.6947910801649739,-0.1235931630677938,0.36284957228996967,0.6626860268891102,3/6,0.6125873466969249,0.3135308993882196,0.5448212948044958,0.27357975776340643
6H,base,0.0,61,18.0327868852459,1.742740133937194,0.29144476623021887,0.0,0.6762944707731758,2/6,1.5571267808602982,0.0,1.4035866569318625,0.0
8H,base,0.0,17,5.88235294117647,0.32790562394448175,-0.3324062957497213,0.0,0.7309427898081677,0/5,0.29398646096700065,0.0,0.26549007626009236,0.0
