combo,variant,desc,n,wr,pf,ev,pnl,max_loss_streak,train_n,test_n,test_pf,test_ev,split_date
2H_M30_6H,2H_M30_6H__30m_bias5_signed_pos,30M Bias_5 signed > 0,1198,30.96828046744574,1.4317853355996142,3.382180300500834,4051.851999999999,14,838,360,1.3646977263524707,5.118875,2025-10-22
2H_M30_6H,2H_M30_6H__30m_bias13_signed_pos,30M Bias_13 signed > 0,1198,30.96828046744574,1.4317853355996142,3.382180300500834,4051.851999999999,14,838,360,1.3646977263524707,5.118875,2025-10-22
2H_M30_6H,2H_M30_6H__30m_bias5_13_signed_pos,30M Bias_5+13 signed > 0,1198,30.96828046744574,1.4317853355996142,3.382180300500834,4051.851999999999,14,838,360,1.3646977263524707,5.118875,2025-10-22
2H_M30_6H,2H_M30_6H__6h_recent2_any,6H 最近2根至少1根同向_对照,578,30.79584775086505,1.4208536971571195,3.4441574394463683,1990.7230000000009,13,404,174,1.1977951810815852,2.901873563218393,2025-10-28
2H_M30_6H,2H_M30_6H__2h_bias5_13_signed_pos,2H Bias_5+13 signed > 0,461,32.32104121475054,1.39957305405832,3.3058524945770067,1523.998,11,322,139,1.2335857037333156,3.5899568345323734,2025-10-22
2H_M30_6H,2H_M30_6H__6h_dir_against,6H 方向反向,640,30.46875,1.386511751036376,2.9611281249999992,1895.1219999999994,13,448,192,1.4814864141809099,6.458453125000001,2025-10-22
2H_M30_6H,2H_M30_6H__2h_bias13_signed_top30,2H Bias_13 signed top30%,359,32.31197771587744,1.3262314463732592,2.9322618384401133,1052.6820000000007,10,251,108,1.0352866141293247,0.574259259259257,2025-11-20
2H_M30_6H,2H_M30_6H__2h_dir_against,2H 方向反向,736,31.11413043478261,1.3030741526343237,2.390970108695652,1759.754,12,515,221,1.2320781570579655,3.258312217194572,2025-10-24
2H_M30_6H,2H_M30_6H__2h_bias5_signed_top30,2H Bias_5 signed top30%,360,32.5,1.1918133085180282,2.0326083333333336,731.739,9,251,109,0.985977486799719,-0.2626972477064242,2025-12-11
2H_M30_6H,2H_M30_6H__2h_bias5_signed_pos,2H Bias_5 signed > 0,805,30.062111801242235,1.14606990749542,1.237960248447205,996.558,15,563,242,1.0349657889735226,0.5534338842975152,2025-10-09
2H_M30_6H,2H_M30_6H__30m_dir_against,30M 方向反向,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1970-01-01
