exec,window,thr,pct_spec,n,pf0,ev0,pnl0,pos_years
4H,2,0.3,0.1-1%,34,0.9504950869873156,-0.018526333281528612,-0.6298953315719729,3/6
4H,2,0.3,0.05-2%,86,0.8955359515535649,-0.0777145076209486,-6.683447655401579,2/6
4H,2,0.4,0.1-1%,21,1.0539834891142397,0.02002644677233637,0.42055538221906374,2/5
4H,2,0.4,0.05-2%,58,0.6421406147938361,-0.25441309204287726,-14.755959338486882,2/6
4H,2,0.5,0.1-1%,12,1.0035267016526024,0.001349201312297173,0.016190415747566078,1/3
4H,2,0.5,0.05-2%,43,0.7532842912146991,-0.17422543315340194,-7.491693625596284,2/6
