gate,n_min,thr,n,wr,pf0,ev0,test_pf0,pos_years
cross+6H,8,0.5,51,17.647058823529413,1.1338185662354803,0.0477583370529519,1.43158067953718,3/6
cross+6H,12,0.5,44,15.909090909090908,0.9188265843054846,-0.029878563187968252,1.789035560245989,2/6
cross+8H,8,0.5,46,17.391304347826086,0.9888373308304074,-0.004328472937789639,2.3054945813937264,2/6
cross+8H,12,0.5,37,18.91891891891892,1.0997962146610571,0.03649490525938071,2.3443282115583557,3/6
base_2H,0,0.0,300,18.666666666666668,1.1284746375585653,0.044321805058323636,1.0881387250850214,4/6
confirm_2H,0,0.0,40,37.5,2.854841739078562,0.5389734721859751,5.967808590480061,4/6
