bar_time,close,m30_sma5,m30_sma13,m30_diff,m30_dist%,m30_cross,h2_time,h2_sma5,h2_sma13,h2_diff,h2_dist%,h2_score,h2_dir,h2_cross,h2_tier,decision,lot_mul,skip_reason
2018-01-19 05:30:00,1331.56900,1330.92163,1329.78236,1.13927,0.08567,NONE,2018-01-19 04:00:00,1329.94346,1331.51531,-1.57185,0.12223,-0.11805,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-19 06:00:00,1332.55000,1331.24730,1329.99525,1.25205,0.09414,NONE,2018-01-19 06:00:00,1330.92937,1331.77359,-0.84422,0.12177,-0.06339,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-19 06:30:00,1332.08200,1331.41424,1330.15577,1.25847,0.09461,NONE,2018-01-19 06:00:00,1330.92937,1331.77359,-0.84422,0.08660,-0.06339,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-19 07:00:00,1332.26900,1331.58519,1330.31833,1.26687,0.09523,NONE,2018-01-19 06:00:00,1330.92937,1331.77359,-0.84422,0.10065,-0.06339,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-19 07:30:00,1334.87300,1332.24276,1330.66869,1.57407,0.11829,NONE,2018-01-19 06:00:00,1330.92937,1331.77359,-0.84422,0.29631,-0.06339,BEAR,NONE,T0,SKIP,0.00,no_m30_cross
2018-01-19 08:00:00,1337.23800,1333.24180,1331.17402,2.06779,0.15534,NONE,2018-01-19 08:00:00,1331.84089,1332.05924,-0.21834,0.40524,-0.01639,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 08:30:00,1337.06200,1334.00584,1331.62694,2.37890,0.17865,NONE,2018-01-19 08:00:00,1331.84089,1332.05924,-0.21834,0.39202,-0.01639,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 09:00:00,1336.17800,1334.44027,1331.97702,2.46325,0.18493,NONE,2018-01-19 08:00:00,1331.84089,1332.05924,-0.21834,0.32565,-0.01639,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 09:30:00,1335.48700,1334.64962,1332.24702,2.40260,0.18034,NONE,2018-01-19 08:00:00,1331.84089,1332.05924,-0.21834,0.27376,-0.01639,BEAR,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 10:00:00,1336.20800,1334.96130,1332.55171,2.40959,0.18082,NONE,2018-01-19 10:00:00,1332.35671,1332.24084,0.11588,0.28906,0.00870,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-19 10:30:00,1335.34800,1335.03864,1332.76681,2.27183,0.17046,NONE,2018-01-19 10:00:00,1332.35671,1332.24084,0.11588,0.22451,0.00870,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-19 11:00:00,1335.28700,1335.08831,1332.96067,2.12764,0.15962,NONE,2018-01-19 10:00:00,1332.35671,1332.24084,0.11588,0.21993,0.00870,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-19 11:30:00,1334.42000,1334.95465,1333.07293,1.88172,0.14116,NONE,2018-01-19 10:00:00,1332.35671,1332.24084,0.11588,0.15486,0.00870,BULL,GOLDEN,T1,SKIP,0.00,no_m30_cross
2018-01-19 12:00:00,1334.29600,1334.82292,1333.16701,1.65591,0.12421,NONE,2018-01-19 12:00:00,1332.70597,1332.38408,0.32189,0.11931,0.02416,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 12:30:00,1334.28600,1334.71553,1333.25309,1.46245,0.10969,NONE,2018-01-19 12:00:00,1332.70597,1332.38408,0.32189,0.11856,0.02416,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 13:00:00,1334.45100,1334.66263,1333.34523,1.31739,0.09880,NONE,2018-01-19 12:00:00,1332.70597,1332.38408,0.32189,0.13094,0.02416,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 13:30:00,1334.10300,1334.55070,1333.40352,1.14718,0.08603,NONE,2018-01-19 12:00:00,1332.70597,1332.38408,0.32189,0.10483,0.02416,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 14:00:00,1333.70800,1334.38216,1333.42694,0.95522,0.07164,NONE,2018-01-19 14:00:00,1332.79698,1332.44384,0.35314,0.06835,0.02650,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 14:30:00,1334.08800,1334.32333,1333.47779,0.84554,0.06341,NONE,2018-01-19 14:00:00,1332.79698,1332.44384,0.35314,0.09687,0.02650,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 15:00:00,1334.53500,1334.36566,1333.55912,0.80655,0.06048,NONE,2018-01-19 14:00:00,1332.79698,1332.44384,0.35314,0.13040,0.02650,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 15:30:00,1333.16100,1334.12473,1333.52849,0.59624,0.04471,NONE,2018-01-19 14:00:00,1332.79698,1332.44384,0.35314,0.02731,0.02650,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 16:00:00,1333.82400,1334.06458,1333.55122,0.51336,0.03850,NONE,2018-01-19 16:00:00,1333.00938,1332.55270,0.45668,0.06111,0.03427,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 16:30:00,1334.07300,1334.06627,1333.59136,0.47491,0.03561,NONE,2018-01-19 16:00:00,1333.00938,1332.55270,0.45668,0.07979,0.03427,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 17:00:00,1334.15300,1334.08361,1333.63456,0.44905,0.03367,NONE,2018-01-19 16:00:00,1333.00938,1332.55270,0.45668,0.08579,0.03427,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 17:30:00,1333.85900,1334.03869,1333.65183,0.38686,0.02901,NONE,2018-01-19 16:00:00,1333.00938,1332.55270,0.45668,0.06374,0.03427,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 18:00:00,1332.95200,1333.82135,1333.59800,0.22336,0.01675,NONE,2018-01-19 18:00:00,1333.29171,1332.69642,0.59529,-0.02548,0.04467,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 18:30:00,1334.63300,1333.98368,1333.67761,0.30607,0.02295,NONE,2018-01-19 18:00:00,1333.29171,1332.69642,0.59529,0.10060,0.04467,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 19:00:00,1334.09400,1334.00575,1333.70964,0.29610,0.02220,NONE,2018-01-19 18:00:00,1333.29171,1332.69642,0.59529,0.06017,0.04467,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 19:30:00,1334.42100,1334.08880,1333.76436,0.32444,0.02432,NONE,2018-01-19 18:00:00,1333.29171,1332.69642,0.59529,0.08470,0.04467,BULL,NONE,T2,SKIP,0.00,no_m30_cross
2018-01-19 20:00:00,1333.41100,1333.95324,1333.73718,0.21606,0.01620,NONE,2018-01-19 20:00:00,1332.96176,1332.61531,0.34646,0.03370,0.02600,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 20:30:00,1332.16700,1333.59599,1333.61640,-0.02041,-0.00153,DEAD,2018-01-19 20:00:00,1332.96176,1332.61531,0.34646,-0.05962,0.02600,BULL,NONE,T1,SKIP,0.00,m30_dead_buy_view
2018-01-19 21:00:00,1331.74500,1333.22579,1333.47244,-0.24665,-0.01850,NONE,2018-01-19 20:00:00,1332.96176,1332.61531,0.34646,-0.09128,0.02600,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-19 21:30:00,1331.64200,1332.90903,1333.33164,-0.42261,-0.03170,NONE,2018-01-19 20:00:00,1332.96176,1332.61531,0.34646,-0.09901,0.02600,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-21 23:30:00,1334.72000,1333.27123,1333.43844,-0.16721,-0.01254,NONE,2018-01-21 23:30:00,1332.72541,1332.55105,0.17436,0.14966,0.01308,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 00:00:00,1333.86300,1333.38958,1333.47110,-0.08151,-0.00611,NONE,2018-01-21 23:30:00,1332.72541,1332.55105,0.17436,0.08536,0.01308,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 00:30:00,1333.52600,1333.41687,1333.47532,-0.05845,-0.00438,NONE,2018-01-21 23:30:00,1332.72541,1332.55105,0.17436,0.06007,0.01308,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 01:00:00,1331.78000,1333.08949,1333.34491,-0.25542,-0.01916,NONE,2018-01-21 23:30:00,1332.72541,1332.55105,0.17436,-0.07094,0.01308,BULL,NONE,T1,SKIP,0.00,no_m30_cross
2018-01-22 01:30:00,1331.30400,1332.73239,1333.18792,-0.45552,-0.03417,NONE,2018-01-22 01:30:00,1332.44933,1332.45828,-0.00895,-0.08596,-0.00067,BEAR,DEAD,T1,SKIP,0.00,no_m30_cross
2018-01-22 02:00:00,1331.97700,1332.58131,1333.09477,-0.51345,-0.03852,NONE,2018-01-22 01:30:00,1332.44933,1332.45828,-0.00895,-0.03545,-0.00067,BEAR,DEAD,T1,SKIP,0.00,no_m30_cross
2018-01-22 02:30:00,1331.72100,1332.40925,1332.98909,-0.57984,-0.04350,NONE,2018-01-22 01:30:00,1332.44933,1332.45828,-0.00895,-0.05466,-0.00067,BEAR,DEAD,T1,SKIP,0.00,no_m30_cross
2018-01-22 03:00:00,1331.34500,1332.19640,1332.86263,-0.66622,-0.04998,NONE,2018-01-22 01:30:00,1332.44933,1332.45828,-0.00895,-0.08288,-0.00067,BEAR,DEAD,T1,SKIP,0.00,no_m30_cross
