gate,trigger,n,wr,pf0,ev0,test_pf0,pos_years
4H,cross,72,18.055555555555554,1.7342197407021862,0.21551388888888884,2.0662274032775803,3/6
4H,post_n,86,26.744186046511626,1.2836208495640882,0.08889534883720927,0.016002543450614668,3/6
4H,both,158,22.78481012658228,1.481648609869201,0.14659493670886078,0.3959350095755853,2/6
6H,cross,81,6.172839506172839,0.5663012464333984,-0.1426172839506173,1.0659472422062353,1/6
6H,post_n,84,8.333333333333332,0.6244564578681395,-0.15216666666666667,0.8088414634146343,1/6
6H,both,165,7.2727272727272725,0.5989253691983123,-0.14747878787878788,0.9562210519637079,1/6
8H,cross,62,9.67741935483871,0.768549701249321,-0.06872580645161291,0.6120576671035388,2/6
8H,post_n,60,11.666666666666666,0.6679581557535839,-0.11426666666666667,0.0,2/6
8H,both,122,10.655737704918032,0.7153720108556503,-0.09112295081967212,0.31490222521915046,1/6
